place,address,latitude,longitude,country_geocoded,country_added,country
national defense university,"300 5th Ave SW Building 62, Washington, DC 20319, USA",38.8667772,-77.0145523,United States,,United States
hobart corporation,"1495 N High St, Hillsboro, OH 45133, USA",39.233345,-83.6145858,United States,,United States
university of maine,"168 College Ave, Orono, ME 04469, USA",44.8955674,-68.6735534,United States,,United States
national institute for medical research,"3711 Long Beach Blvd #712, Long Beach, CA 90807, USA",33.824657,-118.189824,United States,,United States
japan women s university,"2-chōme-8-1 Mejirodai, Bunkyo City, Tōkyō-to 112-8681, Japan",35.716869,139.7208184,Japan,,Japan
university of yamanashi,"4-chōme-4-37 Takeda, Kofu, Yamanashi 400-8510, Japan",35.6778833,138.5735023,Japan,,Japan
federal university of rio grande do norte,"59078 970 Avenida Senador Salgado Filho, 3000 Centro de Convivência Djalma Marinho Sala 09 S/N - Lagoa Nova, Natal - RN, Brazil",-5.8397871,-35.2017448,Brazil,,Brazil
singapore management university,"81 Victoria St, Singapore 188065",1.2962727,103.8501578,Singapore,,Singapore
kdu university college,"Jalan Kontraktor U1/14, Seksyen U1, Glenpark U1, 40150 Shah Alam, Selangor, Malaysia",3.0923531,101.5597531,Malaysia,,Malaysia
university of uyo,"Ikpa Rd, Uyo, Nigeria",5.0408218,7.919841,Nigeria,,Nigeria
university of alcala,"Plaza de San Diego, s/n, 28801 Alcalá de Henares, Madrid, Spain",40.4824722,-3.3628674,Spain,,Spain
technical university of dortmund,"Poststelle: August-Schmidt-Straße 1 Rektorat:, August-Schmidt-Straße 4, 44227 Dortmund, Germany",51.4843281,7.4138369,Germany,,Germany
university of limpopo,"Polokwane, 0727, South Africa",-23.8888188,29.73855,South Africa,,South Africa
silver spring networks,"230 W Tasman Dr, San Jose, CA 95134, USA",37.409758,-121.956869,United States,,United States
national marine fisheries service,"3500 Delwood Beach Rd, Panama City, FL 32408, USA",30.147458,-85.713719,United States,,United States
university of the sciences,"600 S 43rd St, Philadelphia, PA 19104, USA",39.9468678,-75.2071035,United States,,United States
university of sistan and baluchestan,"Sistan and Baluchestan Province, Zahedan, Daneshgah Boulevard, Iran",29.4594668,60.8524125,Iran,,Iran
turkish military academy,"Devlet, Kara Harp Okulu Cd, 06654 Çankaya/Ankara, Turkey",39.9055264,32.840312,Turkey,,Turkey
university of mons,"Place du Parc 20, 7000 Mons, Belgium",50.4586912,3.9522832,Belgium,,Belgium
bath spa university,"Bath BA2 9BN, UK",51.3755553,-2.4382603,United Kingdom,,United Kingdom
jimma university,"Jimma, Ethiopia",7.6820055,36.8559734,Ethiopia,,Ethiopia
university of salzburg,"Kapitelgasse 4/6, 5020 Salzburg, Austria",47.7972387,13.0480985,Austria,,Austria
silliman university,"1 Hibbard Ave, Dumaguete, 6200 Negros Oriental, Philippines",9.3132404,123.3068253,Philippines,,Philippines
universidad michoacana de san nicolas de hidalgo,"Calle de Santiago Tapia 403, Centro, 58000 Morelia, Mich., Mexico",19.7047571,-101.1951331,Mexico,,Mexico
el colegio de mexico,"Carretera Picacho Ajusco 20 Ampliación, Fuentes del Pedregal, Tlalpan, 14110 Tlalpan, CDMX, Mexico",19.303713,-99.2075505,Mexico,,Mexico
universidad anahuac mexico norte,"Av Universidad Anáhuac 46, Lomas Anahuac, 52786 Naucalpan de Juárez, Méx., Mexico",19.4037944,-99.2612423,Mexico,,Mexico
city university of new york,"425 E 25th St, New York, NY 10010, USA",40.7383471,-73.9772112,United States,,United States
supsi,"Via Pobiette 11, 6928 Manno, Switzerland",46.0308005,8.9240543,Switzerland,,Switzerland
indian institute of technology madras,"Indian Institute Of Technology, Chennai, Tamil Nadu 600036, India",12.9914929,80.2336907,India,,India
illinois state university,"100 N University St, Normal, IL 61761, USA",40.5120479,-88.9931683,United States,,United States
meiji gakuin university,"1-chōme-2-37 Shirokanedai, Minato City, Tōkyō-to 108-8636, Japan",35.6374269,139.7307782,Japan,,Japan
romanian american university,"Bulevardul Expoziției 1B, București 012101, Romania",44.4733903,26.0654907,Romania,,Romania
edith cowan university,"270 Joondalup Dr, Joondalup WA 6027, Australia",-31.7517667,115.7729824,Australia,,Australia
university of florence,"Piazza di San Marco, 4, 50121 Firenze FI, Italy",43.7776426,11.259765,Italy,,Italy
maseno university,"Maseno, Kenya",-0.0067175,34.5985158,Kenya,,Kenya
great lakes university,"3655 Squirrel Rd, Auburn Hills, MI 48326, USA",42.696011,-83.2246036,United States,,United States
university of southern queensland,"West St, Darling Heights QLD 4350, Australia",-27.6043593,151.9303905,Australia,,Australia
ziauddin university,"Ziauddin Chowrangi, Near Allama Rasheed Turabi Rd, Block-B North Nazimabad Town, Karachi, Karachi City, Sindh 74600, Pakistan",24.9245564,67.045606,Pakistan,,Pakistan
pakistan institute of medical sciences,"Ibn-e-Sina Rd, G-8/3 G 8/3 G-8, Islamabad, Islamabad Capital Territory, Pakistan",33.703833,73.0516758,Pakistan,,Pakistan
quaid i azam university,"Quaid-e-Azam University, Islamabad, Islamabad Capital Territory 15320, Pakistan",33.747648,73.138121,Pakistan,,Pakistan
rashid latif medical college,"5KM ahead of، Society towards Kasur، Lahore – Kasur Rd, Central Park Housing Scheme, Kasur, Punjab, Pakistan",31.2738196,74.4051885,Pakistan,,Pakistan
university of trieste,"Piazzale Europa, 1, 34127 Trieste TS, Italy",45.6585478,13.7932365,Italy,,Italy
magister,,,,,Costa Rica,Costa Rica
cardiff university,"Cardiff CF10 3AT, UK",51.4866271,-3.1788641,United Kingdom,,United Kingdom
city university london,"Northampton Square, Clerkenwell, London EC1V 0HB, UK",51.5279719,-0.1024624,United Kingdom,,United Kingdom
scottish government,,,,,United Kingdom,United Kingdom
jiangxi university of finance and economics,"169 Shuanggang E St, Qingshanhu Qu, Nanchang Shi, Jiangxi Sheng, China, 330013",28.739926,115.853957,China,,China
plovdiv university paisii hilendarski,"ul. ""Tsar Asen"" 24, 4000 Tsentar, Plovdiv, Bulgaria",42.1382495,24.7513931,Bulgaria,,Bulgaria
university of economics varna,"bul. ""Knyaz Boris I"" 77, 9002 Varna Center, Varna, Bulgaria",43.209057,27.923601,Bulgaria,,Bulgaria
university of denver,"2199 S University Blvd, Denver, CO 80208, USA",39.6766174,-104.9618965,United States,,United States
mykolas romeris university,,,,,Lithuania,Lithuania
university of namibia,"Windhoek, Namibia",-22.6121691,17.0583726,Namibia,,Namibia
university of lagos,"University of Lagos, University Road Lagos Mainland Akoka, Yaba, Lagos, Nigeria",6.515759,3.3898447,Nigeria,,Nigeria
all india institute of medical sciences,"Sri Aurobindo Marg, Ansari Nagar, Ansari Nagar East, New Delhi, Delhi 110029, India",28.5671773,77.2100451,India,,India
jawaharlal institute of postgraduate medical education and research,"Jipmer Campus Rd, Gorimedu, Puducherry, 605006, India",11.9503023,79.7996963,India,,India
vardhman mahavir medical college,"Ansari Nagar, near AIIMS Hospital, Ansari Nagar West, New Delhi, Delhi 110029, India",28.569075,77.2031046,India,,India
northeast ohio medical university,"4209 St, OH-44, Rootstown, OH 44272, USA",41.1032039,-81.2449744,United States,,United States
german institute of global and area studies,"Neuer Jungfernstieg 21, 20354 Hamburg, Germany",53.5574755,9.9925246,Germany,,Germany
university of exeter,"Stocker Rd, Exeter EX4 4PY, UK",50.7371369,-3.5351475,United Kingdom,,United Kingdom
niger delta university,"Wilberforce Island, PMB 071 Bayelsa NG, 560103, Amassama, Nigeria",4.9747118,6.1046353,Nigeria,,Nigeria
overseas development institute,"203 Blackfriars Rd, London SE1 8NJ, UK",51.5044718,-0.1043022,United Kingdom,,United Kingdom
university of the sunshine coast,"90 Sippy Downs Dr, Sippy Downs QLD 4556, Australia",-26.7172175,153.064907,Australia,,Australia
mangosuthu university of technology,"511 Griffiths Mxenge Hwy, Umlazi, Durban, 4031, South Africa",-29.9669137,30.9132606,South Africa,,South Africa
bangladesh medical college,"House # 34, Road # 14/A, R/A, Dhaka 1209, Bangladesh",23.7505596,90.369831,Bangladesh,,Bangladesh
save the children,"501 Kings Hwy E #400, Fairfield, CT 06825, USA",41.1720377,-73.2280075,United States,,United States
dhaka medical college and hospital,"Dhaka 1000, Bangladesh",23.7256553,90.3970882,Bangladesh,,Bangladesh
beijing foreign studies university,,,,,China,China
university of lethbridge,"4401 University Dr W, Lethbridge, AB T1K 3M4, Canada",49.6786156,-112.8601177,Canada,,Canada
university of grenoble,"621 Avenue Centrale, 38400 Saint-Martin-d'Hères, France",45.1914227,5.7672721,France,,France
university of gottingen,"Wilhelmsplatz 1, 37073 Göttingen, Germany",51.5408116,9.9374005,Germany,,Germany
university of wurzburg,"Sanderring 2, 97070 Würzburg, Germany",49.7881814,9.93526,Germany,,Germany
university of papua new guinea,"The University of Papua New Guinea University National Capital District, Port Moresby 134, Papua New Guinea",-9.4094573,147.1712535,Papua New Guinea,,Papua New Guinea
royal children s hospital,"3601 W 13 Mile Rd, Royal Oak, MI 48073, USA",42.5147113,-83.1917212,United States,,United States
university of texas at austin,"Austin, TX 78712, USA",30.2849185,-97.7340567,United States,,United States
university of northern british columbia,"3333 University Way, Prince George, BC V2N 4Z9, Canada",53.8922034,-122.8133607,Canada,,Canada
middlesex university,"The Burroughs, Hendon, London NW4 4BT, UK",51.5901102,-0.228922,United Kingdom,,United Kingdom
metropolitan university,"700 E 7th St, St Paul, MN 55106, USA",44.9574183,-93.0744273,United States,,United States
national institute of communicable diseases,,,,,South Africa,South Africa
budapest university of technology and economics,"Budapest, Műegyetem rkp. 3, 1111 Hungary",47.4813261,19.0554834,Hungary,,Hungary
vienna institute of demography,"Vordere Zollamtsstraße 3, 1030 Wien, Austria",48.2097541,16.384984,Austria,,Austria
stony brook university,"100 Nicolls Rd, Stony Brook, NY 11794, USA",40.9123761,-73.1233889,United States,,United States
mount mary university,"2900 Menomonee River Pkwy, Milwaukee, WI 53222, USA",43.0724777,-88.0312099,United States,,United States
university of seville,"Calle San Fernando, 4, 41004 Sevilla, Spain",37.3807579,-5.9912307,Spain,,Spain
university of brighton,"1 Denton Rd, Eastbourne BN20 7SR, UK",50.7596095,0.2674401,United Kingdom,,United Kingdom
southampton solent university,"E Park Terrace, Southampton SO14 0YN, UK",50.9087215,-1.4012008,United Kingdom,,United Kingdom
rzeszow university of technology,"Aleja Powstańców Warszawy 12, 35-959 Rzeszów, Poland",50.0191084,21.9891095,Poland,,Poland
federal university oye ekiti,"Oye-Are Road, Oye, Nigeria",7.7795923,5.3154551,Nigeria,,Nigeria
international labour organization,"900 19th St NW Suite 300, Washington, DC 20006, USA",38.9016559,-77.0438082,United States,,United States
depaul university,"Chicago, IL 60614, USA",41.9247836,-87.6566548,United States,,United States
oswaldo cruz foundation,"Av. Brasil, 4365 - Manguinhos, Rio de Janeiro - RJ, 21040-900, Brazil",-22.875704,-43.242977,Brazil,,Brazil
university of zambia,"University of Zambia Great East Road Campus, Lusaka, Zambia",-15.392315,28.3284985,Zambia,,Zambia
finnish environment institute,"Latokartanonkaari 11, 00790 Helsinki, Finland",60.2296745,25.0197503,Finland,,Finland
indian ministry of environment and forests,"Law-U-Sib, Lumbatngen, Near, MTC Workshop, Sawlad, Madanrting, Shillong, Meghalaya 793021, India",25.5625616,91.9138362,India,,India
united nations research institute for social development,,,,,Switzerland,Switzerland
the open university of tanzania,"77 Massachusetts Ave, Cambridge, MA 02139, USA",42.360091,-71.09416,United States,,United States
bank of canada,"234 Wellington St. W, Ottawa, ON K1A 0G9, Canada",45.4208297,-75.7026672,Canada,,Canada
university of agricultural sciences dharwad,"Dharwad, Karnataka 580005, India",15.4889253,74.9812757,India,,India
aurel vlaicu university of arad,"Bulevardul Revoluției 77, Arad 310032, Romania",46.1749774,21.3188815,Romania,,Romania
tai solarin university of education,"Ijagun Road, Ijebu Ode, Nigeria",6.8018965,3.9216496,Nigeria,,Nigeria
national institute of development administration,"Khlong Kum, Bueng Kum, Bangkok 10240, Thailand",13.7828491,100.6548966,Thailand,,Thailand
empresa brasileira de pesquisa agropecuaria,,,,,Brazil,Brazil
university of jos,"Jos, Nigeria",9.9499235,8.8897235,Nigeria,,Nigeria
masinde muliro university of science and technology,"Kakamega Webuye, Webuye, Kenya",0.5992059,34.779603,Kenya,,Kenya
ewha womans university,"52 Ewhayeodae-gil, Daehyeon-dong, Seodaemun-gu, Seoul, South Korea",37.5597476,126.9455228,South Korea,,South Korea
georgetown university,"3700 O St NW, Washington, DC 20057, USA",38.9076089,-77.0722585,United States,,United States
bogor agricultural university,"Kampus IPB, Jl. Raya Dramaga, Babakan, Kec. Dramaga, Bogor, Jawa Barat 16680, Indonesia",-6.5540816,106.7234284,Indonesia,,Indonesia
st george s hospital,"Blackshaw Rd, Tooting, London SW17 0QT, UK",51.426563,-0.1752284,United Kingdom,,United Kingdom
nyenrode business university,"Straatweg 25, 3621 BG Breukelen, Netherlands",52.1616498,5.0049055,Netherlands,,Netherlands
universidad autonoma de yucatan,"Calle 60 491A, Parque Santa Lucia, Centro, 97000 Mérida, Yuc., Mexico",20.9696428,-89.6230718,Mexico,,Mexico
social insurance institution,,,,,Poland,Poland
nasa headquarters,"300 E St SW, Washington, DC 20546, USA",38.8830649,-77.0162786,United States,,United States
langley research center,"1 Nasa Dr, Hampton, VA 23666, USA",37.0862472,-76.3808799,United States,,United States
swami rama himalayan university,"Swami Ram Nagar, Beside Jolly Grant Airport, Jolly Grant, Doiwala, Joly Grant, Dehradun, Uttarakhand 248016, India",30.1927738,78.1647423,India,,India
guru gobind singh medical college and hospital,"Sadiq Rd, Kotakpura, GGS Medical Hospital, Faridkot, Punjab 151203, India",30.6822788,74.7472873,India,,India
university at buffalo,"Buffalo, NY 14260, USA",43.0008093,-78.7889697,United States,,United States
ben gurion university of the negev,"שד' בן-גוריון 1, באר שבע, Israel",31.262218,34.801461,Israel,,Israel
hofstra university,"1000 Hempstead Turnpike, Hempstead, NY 11549, USA",40.7166872,-73.5993965,United States,,United States
university of haifa,"Abba Khoushy Ave 199, Haifa, 3498838, Israel",32.7614296,35.0195184,Israel,,Israel
university of texas medical branch,"301 University Blvd, Galveston, TX 77555, USA",29.3113238,-94.7781311,United States,,United States
mississippi college,"200 Capitol St, Clinton, MS 39056, USA",32.3381241,-90.33174,United States,,United States
vancouver island university,"900 Fifth St, Nanaimo, BC V9R 5S5, Canada",49.1573024,-123.9664322,Canada,,Canada
lund university,"Lund, Sweden",55.7119483,13.203493,Sweden,,Sweden
university of cienfuegos,"CS, Cienfuegos, Cuba",22.1725622,-80.450542,Cuba,,Cuba
maastricht graduate school of governance,"Boschstraat 24, 6211 AX Maastricht, Netherlands",50.8550704,5.6896534,Netherlands,,Netherlands
instituto politecnico nacional,"D.R Av. Luis Enrique Erro S/N, Unidad Profesional Adolfo López Mateos Zacatenco, Alcaldía, Nueva Industrial Vallejo, Gustavo A. Madero, 07738 Ciudad de México, CDMX, Mexico",19.5011855,-99.1395848,Mexico,,Mexico
shenyang university of technology,"Tiexi, Shenyang, China",41.731583,123.2492621,China,,China
university of lucknow,"Lucknow University Main Building, University Rd, Babuganj, Hasanganj, Lucknow, Uttar Pradesh 226007, India",26.8633208,80.9360197,India,,India
national institute of advanced studies,"Indian Institute of Science Campus, Mathikere, Bengaluru, Karnataka 560012, India",13.029156,77.5642728,India,,India
university of macerata,"Via Giovanni Mario Crescimbeni, 30/32, 62100 Macerata MC, Italy",43.2991026,13.4498415,Italy,,Italy
vilnius gediminas technical university,"Saulėtekio al. 11, Vilnius 10221, Lithuania",54.7224678,25.3376688,Lithuania,,Lithuania
khulna university,"Sher-E-Bangla Rd, Khulna 9208, Bangladesh",22.8022039,89.5339231,Bangladesh,,Bangladesh
university of gondar,"Gondar, Ethiopia",12.589413,37.4442387,Ethiopia,,Ethiopia
ifakara health institute,"Off Mlabani Passage, P. O. Box 53, Ifakara, Tanzania",-8.1461592,36.6829205,Tanzania,,Tanzania
wisconsin department of natural resources,"101 S Webster St, Madison, WI 53707, USA",43.0753105,-89.3802153,United States,,United States
tallinn university of technology,"Ehitajate tee 5, 12616 Tallinn, Estonia",59.3959451,24.6710596,Estonia,,Estonia
technical university of crete,"Akrotiri Campus, Chania 731 00, Greece",35.529257,24.0687454,Greece,,Greece
mercer university,"1501 Mercer University Dr, Macon, GA 31207, USA",32.8288186,-83.6497769,United States,,United States
university of valle,"Cl. 13 #100-00, Cali, Valle del Cauca, Colombia",3.3758083,-76.5333726,Colombia,,Colombia
parsons brinckerhoff,"1015 Half St SE #650, Washington, DC 20003, USA",38.8777311,-77.0077262,United States,,United States
seattle university,"901 12th Ave, Seattle, WA 98122, USA",47.6091765,-122.3178465,United States,,United States
pacific northwest national laboratory,"902 Battelle Blvd, Richland, WA 99354, USA",46.3451404,-119.2792298,United States,,United States
university of massachusetts boston,"100 William T, Morrissey Blvd, Boston, MA 02125, USA",42.3144915,-71.0373279,United States,,United States
sambalpur university,"Jyoti Vihar, Burla, Odisha 768019, India",21.4803616,83.8837026,India,,India
european synchrotron radiation facility,"71 Avenue des Martyrs, 38000 Grenoble, France",45.2089892,5.692755,France,,France
directorate of fisheries,"Bishnu Rabha Nagar, Ulubari, Guwahati, Assam 781016, India",26.1676,91.7501,India,,India
fisheries and oceans canada,"520 Exmouth St, Sarnia, ON N7T 8B1, Canada",42.9868493,-82.3869635,Canada,,Canada
savonia university of applied sciences,"Microkatu 1, 70210 Kuopio, Finland",62.8890665,27.6297033,Finland,,Finland
vienna university of economics and business,"Welthandelspl. 1, 1020 Wien, Austria",48.2134275,16.4084666,Austria,,Austria
pompeu fabra university,"Plaça de la Mercè, 10-12, 08002 Barcelona, Spain",41.3789955,2.1796357,Spain,,Spain
university of nouakchott,"Presidence de l'Universite de Avenue du Roi Faiçal, Nouakchott, Mauritania",18.0889146,-15.9690927,Mauritania,,Mauritania
philippine normal university,"104, Taft Ave, Ermita, Manila, 1000 Metro Manila, Philippines",14.5877295,120.9831167,Philippines,,Philippines
helen keller international,"One Dag Hammarskjold Plaza, Floor 2, New York, NY 10017, USA",40.753519,-73.969971,United States,,United States
university of barcelona,"Gran Via de les Corts Catalanes, 585, 08007 Barcelona, Spain",41.3866167,2.163948,Spain,,Spain
tumkur university,"Vishwavidyanilaya Karyalaya, Bengaluru - Honnavar Rd, Venkatesh Rao Colony, Tumakuru, Karnataka 572103, India",13.3379753,77.1202968,India,,India
institut barcelona d estudis internacionals,"Carrer de Ramon Trias Fargas, 25, 08005 Barcelona, Spain",41.389445,2.189952,Spain,,Spain
university of burgundy,"Maison de l'Université, Espl. Erasme, 21078 Dijon, France",47.312907,5.066068,France,,France
resources for the future,"1616 P St NW, Washington, DC 20036, USA",38.9095107,-77.0375712,United States,,United States
mott macdonald,"4200 E Skelly Dr Suite 520, Tulsa, OK 74135, USA",36.0907854,-95.9290081,United States,,United States
museum victoria,"675 Belleville St, Victoria, BC V8W 9W2, Canada",48.4198111,-123.3674497,Canada,,Canada
bond university,"14 University Dr, Robina QLD 4226, Australia",-28.0730934,153.4166377,Australia,,Australia
agricultural research organization volcani center,"Derech HaMaccabim 68, Rishon LeTsiyon, Israel",31.9927222,34.8172188,Israel,,Israel
fordham university,"Bronx County, The Bronx, NY 10458, USA",40.8620404,-73.8856987,United States,,United States
university of kabianga,"Kabianga Rd Kenya, Kenya",-0.4458706,35.138089,Kenya,,Kenya
university of silesia in katowice,"Bankowa 12, 40-007 Katowice, Poland",50.2607501,19.0287157,Poland,,Poland
pontificia universidade catolica do parana,"R. Imac. Conceição, 1155 - Prado Velho, Curitiba - PR, 80215-901, Brazil",-25.4518669,-49.2511097,Brazil,,Brazil
university of nevada las vegas,"4505 S Maryland Pkwy, Las Vegas, NV 89154, USA",36.1085197,-115.1431709,United States,,United States
indian ministry of finance,,,,,India,India
north china university of technology,"Shijingshan District, Beijing, China",39.9305635,116.2071815,China,,China
university of antioquia,"Cl. 67 ##53-108, Medellín, Antioquia, Colombia",6.2677479,-75.5688416,Colombia,,Colombia
north south university,"Basundhara Residential Area, Dhaka 1229, Bangladesh",23.81511,90.4255583,Bangladesh,,Bangladesh
university of california san francisco,"1701 Divisadero St, San Francisco, CA 94115, USA",37.7854795,-122.4401581,United States,,United States
california state university long beach,"1250 Bellflower Blvd, Long Beach, CA 90840, USA",33.7838235,-118.1140904,United States,,United States
hospital authority,"4325 N Josey Ln Ste 107, Carrollton, TX 75010, USA",33.02774,-96.886408,United States,,United States
university of kassel,"Mönchebergstraße 5, 34127 Kassel, Germany",51.3206357,9.5072813,Germany,,Germany
stockholm environment institute,"1402 3rd Ave #900, Seattle, WA 98101, USA",47.609071,-122.3368459,United States,,United States
universite de montreal,"2900 Boulevard Edouard-Montpetit, Montréal, QC H3T 1J4, Canada",45.5056156,-73.6137592,Canada,,Canada
osun state university,"Main Campus, Oke Bale Street, Area 210001, Osogbo, Nigeria",7.7616469,4.6012166,Nigeria,,Nigeria
institut national des sciences appliquees de lyon,"20 Avenue Albert Einstein, 69100 Villeurbanne, France",45.7833244,4.8781984,France,,France
rowan university,"201 Mullica Hill Rd, Glassboro, NJ 08028, USA",39.7089194,-75.1182734,United States,,United States
center for social and economic research,"391 Pine Tree Rd, Ithaca, NY 14850, USA",42.4390672,-76.4652558,United States,,United States
university of science and technology liaoning,"China, Liaoning Sheng, Anshan Shi, Tiedong District, Anshan, 千山中路185号",41.104565,123.058208,China,,China
universidade lusofona,"Campo Grande 376, 1749-024 Lisboa, Portugal",38.7580243,-9.153116,Portugal,,Portugal
university of kentucky,"Lexington, KY 40506, USA",38.0306511,-84.5039697,United States,,United States
ludwig maximilian university of munich,"Theresienstraße 39, 80333 München, Germany",48.1483061,11.5729663,Germany,,Germany
m s swaminathan research foundation,"3rd Cross Street, Taramani Institutional Area, Taramani, Tharamani, CIT Campus, Tharamani, Chennai, Tamil Nadu 600113, India",12.9971694,80.2459588,India,,India
australian institute of marine science,"1000 Discovery Dr #7547, College Station, TX 77845, USA",30.6034744,-96.3546,United States,,United States
human sciences research council,"HSRC Bldg, 134 Pretorius St, Arcadia, Pretoria, 0083, South Africa",-25.74774,28.18467,South Africa,,South Africa
united nations department of economic and social affairs,,,,,United States,United States
north west university,"5520 108th Ave NE, Kirkland, WA 98033, USA",47.6576921,-122.1924837,United States,,United States
european bank for reconstruction and development,"815 Connecticut Ave NW, Washington, DC 20006, USA",38.901057,-77.0379279,United States,,United States
st john s university,"8000 Utopia Pkwy, Jamaica, NY 11439, USA",40.7220627,-73.7942112,United States,,United States
university of lausanne,"1015 Lausanne, Switzerland",46.5210895,6.5801606,Switzerland,,Switzerland
paris diderot university,"5 Rue Thomas Mann, 75013 Paris, France",48.8277587,2.3826409,France,,France
ohio university,"Athens, OH 45701, USA",39.324358,-82.1013889,United States,,United States
san diego state university,"5500 Campanile Dr, San Diego, CA 92182, USA",32.7759894,-117.0712533,United States,,United States
universidade federal rural de pernambuco,"Rua Dom Manuel de Medeiros, s/n - Dois Irmãos, Recife - PE, 52171-900, Brazil",-8.017426,-34.9492448,Brazil,,Brazil
federal university of pernambuco,"Av. Prof. Moraes Rego, 1235 - Cidade Universitária, Recife - PE, 50670-901, Brazil",-8.0517328,-34.9507155,Brazil,,Brazil
murray state university,"102 Curris Center, Murray, KY 42071, USA",36.6163842,-88.3214979,United States,,United States
university of alabama,"Tuscaloosa, AL 35487, USA",33.2140233,-87.5391418,United States,,United States
university of guelph,"50 Stone Rd E, Guelph, ON N1G 2W1, Canada",43.5327217,-80.2261804,Canada,,Canada
islamic university of gaza,Gaza,31.5144026,34.4393177,,Palestine,Palestine
national university of san marcos,"Lima District 15081, Peru",-12.0560257,-77.0844226,Peru,,Peru
brazilian institute of geography and statistics,,,,,Brazil,Brazil
reason foundation,"5737 Mesmer Ave, Los Angeles, CA 90230, USA",33.9841846,-118.3995237,United States,,United States
hitotsubashi university,"2-chōme-2-1 Naka, Kunitachi, Tōkyō-to 186-8601, Japan",35.6944035,139.4454577,Japan,,Japan
state university of malang,"Jl. Semarang No.5, Sumbersari, Kec. Lowokwaru, Kota Malang, Jawa Timur 65145, Indonesia",-7.961259,112.617392,Indonesia,,Indonesia
mintek,"3725 Pentagon Blvd Suite 100, Beavercreek, OH 45431, USA",39.7710583,-84.0691008,United States,,United States
university of jena,"Fürstengraben 1, 07743 Jena, Germany",50.9294302,11.5896707,Germany,,Germany
institute of rural management anand,"University Rd, near NDDB, Agricultural, Institute of Rural Management, Anand, Gujarat 388001, India",22.5381213,72.9735973,India,,India
university of economics in bratislava,"Dolnozemská cesta 1, 852 35 Petržalka, Slovakia",48.126285,17.1310186,Slovakia,,Slovakia
mepco schlenk engineering college,"Mepco Nagar, Sivakasi, Tamil Nadu 626005, India",9.5252922,77.8534368,India,,India
california state university fresno,"5241 N Maple Ave, Fresno, CA 93740, USA",36.8133631,-119.7460947,United States,,United States
university of granada,"Hospital Real, Avenida del Hospicio, S/N C.P. 18010 CP:18071 Granada Granada S/N C.P. 18010, 18010 Granada, Spain",37.1839464,-3.6010073,Spain,,Spain
university of bari,"Piazza Umberto I, 1, 70121 Bari BA, Italy",41.1205546,16.8684745,Italy,,Italy
university of applied sciences dusseldorf,"Münsterstraße 156, 40476 Düsseldorf, Germany",51.2466607,6.791998,Germany,,Germany
yildiz technical university,"Yıldız, 34349 Beşiktaş/İstanbul, Turkey",41.0520861,29.0106553,Turkey,,Turkey
university of york,"Heslington, York YO10 5DD, UK",53.9461089,-1.0517718,United Kingdom,,United Kingdom
the american college of financial services,"630 Allendale Rd #400, King of Prussia, PA 19406, USA",40.1015569,-75.3946825,United States,,United States
bc hydro,"601 18 St, Castlegar, BC V1N 2N1, Canada",49.300351,-117.655454,Canada,,Canada
ppg industries,"Tulsa, OK 74145, USA",36.1104996,-95.8949637,United States,,United States
universiti tenaga nasional,"Jalan Ikram-Uniten, 43000 Kajang, Selangor, Malaysia",2.9767553,101.7336879,Malaysia,,Malaysia
university of warwick,"Coventry CV4 7AL, UK",52.3792525,-1.5614704,United Kingdom,,United Kingdom
university of peradeniya,"Galaha Rd, 20400, Sri Lanka",7.2549422,80.5973902,Sri Lanka,,Sri Lanka
university of rome tor vergata,"Via Cracovia, 50, 00133 Roma RM, Italy",41.8520309,12.6289995,Italy,,Italy
amirkabir university of technology,"Tehran, استان تهران تهران منطقه ۶ استان تهران، ۴۲۴ خیابان حافظ، Rasht St, Iran",35.7031972,51.4095662,Iran,,Iran
queen margaret university,"Queen Margaret University Way, Musselburgh EH21 6UU, UK",55.9312427,-3.0731052,United Kingdom,,United Kingdom
academy of technology,"5639 U.S. 701 North, Conway, SC 29526, USA",33.94854,-79.0282066,United States,,United States
queen mary intellectual property research institute,,,,,United Kingdom,United Kingdom
afe babalola university,"Ado Ekiti, Nigeria",7.611038,5.257116,Nigeria,,Nigeria
university of greifswald,"Domstraße 11, 17489 Greifswald, Germany",54.0949653,13.374584,Germany,,Germany
university of economics in katowice,"1 Maja 50, 40-287 Katowice, Poland",50.2584208,19.0447436,Poland,,Poland
lawrence university,"711 E John St, Appleton, WI 54911, USA",44.2611716,-88.3989041,United States,,United States
seton hall university,"400 S Orange Ave, South Orange, NJ 07079, USA",40.7433773,-74.2465446,United States,,United States
santa clara university,"500 El Camino Real, Santa Clara, CA 95053, USA",37.3496418,-121.9389875,United States,,United States
robert morris university,"6001 University Blvd, Moon Twp, PA 15108, USA",40.5215511,-80.2119216,United States,,United States
college of science and technology,"1210 Polett Walk Suite #150, Philadelphia, PA 19122, USA",39.9810726,-75.154315,United States,,United States
lublin university of technology,"20-618 Lublin, Poland",51.2351784,22.5488406,Poland,,Poland
military academy,"204 N Grand St, Mexico, MO 65265, USA",39.1722016,-91.8676725,United States,,United States
swiss national science foundation,,,,,Switzerland,Switzerland
washington college of law,"4300 Nebraska Ave NW, Washington, DC 20016, USA",38.9453722,-77.0804159,United States,,United States
